time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:45,264,5,0,0,0,256,238,238,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:01:45,264,5,0,0,0,256,238,239,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:02:45,264,5,0,0,0,256,239,239,242,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:03:46,264,5,0,0,0,256,238,239,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:04:46,264,5,0,0,0,256,238,239,242,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:05:46,264,5,0,0,0,256,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:06:46,264,5,0,0,0,256,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:07:46,264,5,0,0,0,256,239,240,242,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:08:46,264,5,0,0,0,256,238,239,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:09:46,264,5,0,0,0,256,238,239,242,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:10:47,264,5,0,0,0,256,238,239,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:11:47,264,5,0,0,0,256,237,238,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:12:47,264,5,0,0,0,256,238,239,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:13:47,264,5,0,0,0,256,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:14:47,264,5,0,0,0,256,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:15:47,264,5,0,0,0,256,236,237,239,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:16:48,264,5,0,0,0,256,237,238,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:17:48,264,5,0,0,0,253,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:18:48,264,5,0,0,0,253,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:19:48,264,5,0,0,0,253,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:20:48,264,5,0,0,0,253,236,237,239,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
